Cắt tóc,100000,13
Gội đầu,50000,337
Nhuộm tóc,300000,55
Bấm phồng chân tóc,120000,7
Dập phồng,300000,27
Phục hồi tóc,160000,39
Uốn gợn sóng,450000,55
Uốn lọng,520000,41
Dập tóc,350000,32
Gội đầu|cắt tóc|nhuộm,420000,50
Gội đầu|cắt tóc|nhuộm|uốn gợn sóng,850000,25
Tẩy tóc|nhuộm,220000,17
Vệ sinh móng|sơn thường,100000,95
Vệ sinh móng|sơn gel,350000,85
Cạo mặt,50000,55
Đắp mặt nạ sữa chua,55000,24
Đắp mặt nạ đậu đỏ,55000,21
Đắp mặt nạ dưa leo,40000,28
Đắp mặt nạ khoai tây,45000,26
Đắp mặt nạ Hàn Quốc,150000,55
